run,lnlike,earth.d40KPowerMan,earth.d40KPowerCore,earth.dTMan,earth.dTCore,earth.dEruptEff,earth.dDTChiRef,earth.dViscRef,earth.dViscJumpMan,earth.dActViscMan
0,-1.5633551019877596,38930724832491.19,49576776144168.18,2898.4154449222624,6359.31080917676,0.0661649123623477,0.00015809495870072765,89784865.71456765,2.213111327440398,285441.08052454004
1,-1.8581030299007306,45653750945565.56,28195998390372.254,2963.016897087832,6632.46806950594,0.07124188136886675,0.0001789626846099149,201435153.4620275,1.5342830221330455,291384.31026664254
2,-1.0250541909062887,38928378592340.37,34082253996977.58,2750.667482145662,6123.975675009597,0.07951826850143907,0.0003642546930601497,435896529.61904204,2.1456428383057577,273883.5113204028
3,-0.9269281100642021,43116018318460.95,40921698481168.98,2758.7811450502163,6085.287384457583,0.06993618009881536,6.812270686136257e-05,883358130.2657663,2.3161906513817683,259588.95430565742
4,-1.4315154217440118,34858323796836.62,29643116136901.496,2732.755138896596,6381.378284791424,0.061550311762164286,0.0004837256817574913,70682327.52112426,2.3275821281256035,297874.9432853408
5,-1.3484066765229856,43328924256429.55,29735400227293.58,2926.7033615870064,5878.76142684158,0.07450355649255412,0.0009581523052138046,568353271.2781973,2.3261347155405137,274163.3656576212
6,-1.2517997729242647,45412338511563.71,49403647231027.18,2714.01254810488,5923.4345940547355,0.057616802291298674,0.0003385982433931582,374185792.61392874,1.4897947936525757,275949.0974771274
7,-1.1484660881367583,37473310397592.76,34367076340158.062,2692.752564248401,6045.599365003738,0.13264604769234387,7.536690076488953e-05,891666526.3582895,2.1369901805254896,264246.86636828934
8,-1.4228733636670983,37706780309285.66,41090491377999.984,2899.956841843703,5894.25555057782,0.1480806158149296,7.749368726235793e-05,281635058.29215556,1.4604647658533958,284087.07714065
9,-0.8413161360705694,45047302802087.836,34809880288067.375,2620.668351646038,6015.273831063842,0.08520487037748051,0.0007527695039621497,583813594.294233,2.2383185686217764,269713.243481204
10,-1.1420413716623206,30776044677247.637,44755292784141.9,2857.1977218733746,6442.514548648466,0.12708714121360476,0.0004876414628689281,493993510.2578552,1.6888722581838629,268659.8712134856
11,-2.4910334723911944,32433606686746.348,28009483592655.18,2878.936604964349,6080.328883494668,0.1022071614607134,0.0009286197105252025,247782015.25293955,1.6074801499067617,290939.048563987
12,-1.850890425161613,35593910484885.56,29093200053494.156,2788.869978502136,5935.182595569023,0.14869799787347268,0.0008405219349721152,582968559.0616701,2.267291389579409,273405.00887987064
13,-1.1895633989246153,32871068088482.46,49649139061076.29,2765.977927303564,6617.698030538332,0.1401721304493866,0.00031201910211661467,134486680.16565514,1.4254372990060094,286769.1735879931
14,-1.223201247902118,49031790766565.46,46137851696944.02,2571.065818823476,6077.389074021992,0.09236852646925914,0.00022441325529471844,141022056.88938424,1.5285354456779072,289728.5232283203
15,-1.0340782489394833,36624203632892.88,39481368913177.29,2860.0786789070576,6282.4290191691,0.14757831629644058,0.000958746794700544,257745718.67664936,1.7600981833582103,280401.3382613172
